midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
18	24	0	0	5	14	7	2	ושמח במדרר הדין שפועת בו אמ' ר' שמעון דסכנין בשםר' לוי מלמז שהאה ה'ב'ה' למשה דור דור ודודשיו דור ושופﭏ דור דור ומלכיו והראהו שאול ובניו נופלים בחר אמר לפניו רבונו של עולם מלך ראשון שעמד על בניך ידר בחרב אמ' לו מישה' ולי אתה אומ' אמור ﭏהכהנים תר' על חמש חטאות נהרג אותו דיק שנ' וימת שאול במעלו אשר מעל ביוי על שהרג על שהרג נוב עיד הכהנים ועלשחמל על אגג וע אשר לא שמע לשמﭏ שאמ' לו שבעת ימים תוחיל עד בומי ﭏיך והוא לא עשה כן ﭏא ואתאפק אעלי העולה וגם לשאול באוב לדרוש ולא דרש את
30	27	0	1	6	6	22	6	יוי וימיתהו ופד יזי ﭏמשה אמר ﭏ הכהנים אמ' ר' יוחנן כל מקום שנ' אמור ואמרת צריך לדרוש ויאמר המלר אחשורוש ויאמר לאסתר המלכה מ הוא זהואי זה הוא ויאמר יאמר למה י אמ' לה אם הוא זה מוטב ואם לאו אמרי שהוא הוא דא'' עד שלא הכיד בה שהיא יהודית היה משיח עמה אא על ידי מתורוגמן משהכיר בה שהיא יהודית התחיל לספ עמה ויגש איש הﭏהים ויאמר ﭏ אחאב מלך ישרﭏ ויאמר כה אמר יי ויאמ ויאמר למה לי אב' לו כשיפל בן הדר בידך לא תחמל עליו אמיון שנייה אמ' לו הוי יודע כמה מצודות וחרמים פרשתי
17	17	0	0	5	14	9	3	לוע שבא לידר ועכשיו אם הפה יפקד והיתה נשך שו כיוצאבו ויאמר ﭏ האיש לבוש הבדים ואמר ﭏ בינות לגלגל מתחת לכרוב ומלא חפניך גחלי אש מבינות לכרובים המם ה'ב''ה' אמ למלאך והמלא אמר לכרוב אמ' לו גזר עלי ה'בה' ואין לי רשות לכנם עמך במחיצתך ﭏא עשה לי צדקה ותן י שני גחלי מד וישא ויתן ﭏ חפני לבוש הבדים ר' פינחס אמ' הכשי ונתנן לו ר' שמיﭏ דסכנין בשם ר' לוי אר ששה תש' חדשים היו הגחלים עוממות ביר ג בריﭏ סבורשי ש עשין תשובה כיון שלא עשר תשובה בקש לרק ולקעקע ביצת אמ' לו ה'ב'ה' גבייﭏ גביריﭏ
35	34	2	0	7	4	8	10	להנ להונך ישבהם בני אדם שעישי צדקה ﭏו עם ﭏו ש וירא לכריבים תבניר יד אדם תחת כפיהם אף כאן אמור ﭏ הכיים כני אהרן ואמרת אמירה ראשונ למת מצוה יטמא והשנייה לאחרים לא יכטמא לפיכך אמר ואמרת מה כת' אח הענין הזה והכהן הגרול מאחיו ולמה נקרא שמו כהן גדול שהוא בחמשה דברים בנואי בכח בעוש ברחכמה ובשנים כ לואי שיהא נאה מאחיו בכח שיה א גבו בכרח בוא וי ארו אהרן כשהניך את הלוים עשרים ושניםﭏ ביום אחד כיצד היה מנים אותן מוליך ומביא מעלה ומוריד הוי אומר שהיה ג דול בכח בעוש מנין שאם לא ה עשיר
38	30	0	0	2	2	3	7	אחיו הכהנים מעשירין אותו מעשה בפינחס הסתת שמנו אותו כהן דויצאו אחיו הכהנים וראו אותו חוצב באבנים ומלאו ו לסניו דינרי זהב שאם אין לו אחיו מגדלין אותו שנ וכן הוול מאחיו ולא כהן גדול בלבד ﭏא המלך כיוצא בו וכ אתה מו צא בדוד המל כיון שה ליהי בגלית הפלשתי אמ לו שאול לא תוכל ללכת ﭏהפלשמתי הזה וג' אמר לו רועה היה בדך בא וא ויצאתי איחרי והכיתיו והלתי ליו וההחזק כק והתיו והמתיו גם את הארי גם את הדוב אמ' שאול ומי אמר לך שאתה יכול להרוג הפלשתי פמ השיבו דוד יוי אשר הצילי מיד הארי ומיד
32	17	3	0	1	5	12	9	הדוב הוא יצילני מיד הפלשתי הזה כי חר מערכות ﭏהים חיים וילבש שאול את דוד מדיו וכ ובע נחשת על ראשו וילכ אותו שריון וכת' בשאול משכמו ומעלה גב מכל העם כיון שהלבישו בגדיו וראה שעושין שהיו לו עשוין וטובים עלי מיד הכעיסם בו עין רעה כשא וד כך שהלכין פני שאול א לו לא אוכל ול'ת בﭏה כי לא נסיתי ויצירם דוד מעליו הא למדת שאפיני הוא קצר והוא מתמנה מנ נעשה ארוך כל כך למה שבשעה שהיה נמשח בשמן המי היה עשה משובח מכל אהיו אמ' דור בשמן המשה שנמשחתי בו אני שמרו שכן הוא אומ' לכן שו
38	21	0	2	7	4	4	2	לבי ויגל כבוד וידבר יוי ﭏמשה וג' שור או או עז וג' זשה' צדקתך בהררי ﭏ וג' צדהתו כהררי ﭏ ﭏו הצדיקים ﭏנמשלו בהרים שנ' שמעו הרים את ריב יוי והאיתנים וג' משפטיך תהום בי ﭏו הרשעים שנ' וער פרעה וחילו בים סוף תהומו יכסיומו צדקתך הררי ﭏ ﭏו הצדיקים מה ההיי הללו מעלין עשבים אף הצדיקים יש לים מעשי טובים ומשפטיך תהום רבה ﭏו הרשעים מה התהום אינו מעלה עשבים אף הרשעים אין להם מעשים טובים צדקתך כהררי ﭏ מה ההרים ראויין ליזרע ועושין פירות כך הצדיקים עושין פירית ומטבין לעצמן ומטיבי לאחרים להד' לפעמון זהב והזוג שבתוכו מרלית
33	41	1	0	0	6	5	4	כך הן הצדיהים מטיבין לעצמ ומטיבין לאחיים אמרו צדיק כי טוב כי פי וג ומשפטי תהום רבה ﭏו הרשעי ם מה התוום הזה אינו יכול להזרע ואינו עושה פירו כך היש אין להם מעשים טובים ואינם עושין פירות ﭏא י לעממן ולאחרים שנ' אוי לרדשע רע כי גמול ידיו וג' רע לעממו ורע לאחרים צדקתך כהי ﭏ סרס אתהמה ו ודרשהו צדקתך ער משפטיך כהרר ﭏ על תהום רבה מה הם הללו כובשין על התהם שלא יעלה ויציף את העולם כך מעשיהם של צדיקי כבשין את הלרענות שלא יבואו לעולם צמדקתך כהררי ﭏ מה ההרים הללו אין להם סוף כך
27	15	0	5	2	23	8	22	אין סוך למתן שכרן של נכייכ לעתיר לבוא צדקתןך כהרריﭏ ר' ישמעﭏ ור' עקיבה ר' ושמעﭏ אומ' הצדירים שהן עושין את התורה שניתנה מהרריﭏ ה'ב'ה' עושה עכהן צדקה כהררי ﭏ והרשעים שאין עושי את התורה שנתנה מהררי ﭏ ה'ב'ה מדקדק עליהן עד תהום רבה ר' עקיבה אומר אחד ﭏו ואחד לﭏו ה' מדקדיק עמהן עם הצדיקים וגובה מי מינעום מעשם רעים שעשו בעולם הזה בשביל לשלם להם שכרן מושלם לעתידר לבוא ומשפיע שלוה לישעים ומשלם להם מיעוט מעשים טובים שעשו בעולם הה בשביל ליפרעלהן שכרן מושלם לבזלם לעתיד לבי ר' מאיר אומ' משל את הצדיקים בירידת ומש את הרשעים בירידתן
2	24	0	5	1	7	8	8	את הצדיקים בירידת כמו שנ' במרעה טוב ארעה אותם וג' ומשל את רעי בירידתן שנ כה אמר יוי ביום רדתי שפה האבלי יתי עליו וג' הובלי בת' ר' יהודה בר' אומ' אין ות לגיגית לא של כך ולא של מיני מתכות ﭏא של חרס מפני שהוא מין במינ כך אמ' ה'בה' גהנם והיים חשךכ דכת' יהידרכם חשך וחכקלי והתהום חשך ש וחשך על פני תהום והרשעים חשך שנ' והיה' במחשך מעשיהם וג'בוא חשך ויכסה החשך בי בהבל כא ובחשך ילךוג' שיויין הרבה יש למקרא האה ﭏה שלאילהם ריח יצכקתך כהררייﭏ אמ' ר' יהודה בר' סימון צדקה שעשית עם נח בתיבה
41	39	0	6	4	8	1	3	כההרי ותנח התוכה וג' עלהרי אררט ומשפט עם דורו דק דהות עמהן עד תחום רבה ביום הזה נבקעו כל מעייה תהום רבה וג' תושיע יוי אמרו ישרﭏ רבונו של עולם כאדם אנחנו כבהמה תושיענו לפי שאחנו נמשכין אחרין כבהמה שנ' משכני אחריך נשיצה להיכן אנו נמשבכן לגן עין ה'הד' ירויון מדן ביתיך וג' אמ' ' ﭏעזר בר מנחם עדנך אין כתי ﭏא עדניך מלמד שכל צדיק וצדק יש לו עדן פני צמו אדם ובהמה תושיע יוי אמ' ר' יכח משפט יא דם כמשפט בהמה משפט אדם וביום השמיני ימול ומשפט בהמה ומיום השמיני והלאה ירצה ר' תנחומא פתח מי הקדימני
41	42	1	0	1	5	4	9	ואשלם תחת כל ב השמים לי הוא זה רווק הדר במדינה וותשכר סופרים אמ' ה'ב'ה' עלי לשלם לו שכר עמלו וליתן בן זכר אמר ר'' ירמיה בן ﭏעזר עתידה בת קול להיות מפוצצת בראשי ההרים ואומרת כל מי שפעל עם ﭏ יבוא ויטול שכרו ורוח הקדש אומ' מי הקדי ואשלם מי קלס לפני עד שלא נתתי לו נשמה מ מל לפני בן עד שלא נתתי לו בן זכר מי עשה לני ציצת עד שלא נתתי לו טלית מי עשה מעקה עד שלא לו גג מי עשה סוכה עד שלא נתתי לו מקום מי הפריש פיאה עד שלא נתתי לו שדה
13	26	0	4	3	9	3	6	מי הפריש תומה ומעשר עד שלא נתתי לו גורן מי הפריש לפני קרבן עד שלא נתתי לו שור או כשב או עז וור או כשב או עז כי יולד ר' יעקב בר' זביד בשםר' אבה פתח ולא יהיה עוד לבית ישר' למבטח מזכיר בון וכתי' שרפים עומדים ממעל לו וג' בשתים יכסה פניו שלא להביט בשכינה ובשתים יכסה רגליל או פני שכינה דכת' וכף רגליהם ככף רגל עג ם שם ולא יהיה עוד לבית ישר' למבטח מזכיר עון וג' תנינן כליהשופרת כשרי' חוץ משל פרה שהו של פרה שהוא ושל עגל לא יהיה עוד לבת ישר' למבטח מן תנינן והרגת
24	26	0	5	3	17	5	6	את האשה ואת הבהמה אם אשה חטאת בהמה מה חטאת ﭏא מפני שבאה תקלה לאשה על ידה אמ' ואת הבהמה תהרוגו ד'א' שלא תהא בהמה נוברת בשוק ויאמרו זו היאישנהרגה אשה פלנית על ידיה על שום ולא יהיה עוד וג' ותנן מפני ה אמרו אין השוטה שותה בכם של חברהה שלא יהו הבריות אומרי' בכוסזה שתת אשהפלנית ומתה על שם ולא יהיה עוד לבית ישר' וג' אף כטא שו או כשב או עז וג' שור נולד ולא עגל נולד ﭏא דכת עגל מםכה לפיכך קראו הכת' שור ולא עגל שור או כשב או עז זשה' מה שהיה כבר הוא ואשר
22	23	0	8	5	4	10	8	להיות כבר היה והﭏהי' יבקש את נדרדף ר' יהודה ור' נחמיה ר' יהודה אומ' אם יאמר לך אדם שאם א חטא אדם הראשון היה חי וקיים עד עכשיו אמור לו אתה כבר ﭏיהו דל שלא חטא א קיים עד עכשיו ואשר להיות כבר היה אם יאמ ך אדם שה ב'ה' מחיה המתים לא כבר עשה כן על ידי ﭏיהו ועל ידי ﭏישע ועל ידי יחזרקﭏ ור' נחמיה אומ' אם יאמר לך אדם שהיה העולם מים במים אמור לו הר אוקיינוס כולו אינו מים במים ואשר להיות כבר היה אם יאמר לך אדם שה'ב'ה עתי לעשות את היטיבשה אמור לו כבר
6	10	2	6	8	9	12	15	עשה כן משה ובני ישוﭏ הלכו בי בשה ור' אחא בשם ר' שמוﭏ בר נחמן אמר כל מה שעתיד ה'ב'' לעשות לעתי לבוא כבר הקדיםועשה מקצת עלי דיהם של צדיקים בעולם הזה אמ' הב'ה' שאני עתיד להחיות א המתים והלא כבר עשה כן עלידי ﭏיהו ועליד יחזקﭏ אמ' שעתיד אני לעשות אתת הים יבשה לא כבר כן עשה בימי משה ובני ישרﭏ אמ' הב'ה' שעתיד אני לפקוד עקרות לא כב כ וא ק את שרה אמ' ה'ב'ה' והיו מלכים אומניך לא כבר כן עשה וויפקד את שרה אמ' הבה נבוכד ר הרשע לא מלך היה ﭏא כב השתחוה לדניﭏ שנ'
18	24	0	1	3	3	0	4	ן באדי מלכא נבוכדנמצר נפל על אנפוהי ולדניﭏ סגיר ומנחה וניחוחין אמי לנסכה ליה והﭏהים יברש את נרדף ר' הונא בשם ר' יוסף אמ' עתי ה 'ב'ה' לתביע דמן של נרדפי מיד רודפיהן שנ' ם צרקה צרק תרדוף והﭏהים יבקש את נרדף נמצאת ימ' אפי צדיק ודך רשע והﭏהים יבקשאת דף מכל מקום תדע שהוא כן שהרי הבל נרדף מפיקין ולכן ויישע יויﭏהבל וג' וﭏ קין וﭏ מנחתו לא שעה וג ח נרדףם מפני דורו ונח מצא חן בעיני יוי ודורו וימח את כל היקו ם אברהם נרדף מפני נמרוד אתה הﭏהים אשר בחרת באברם וג' יצחק נרדף מפני לשתים
22	31	0	10	2	4	8	6	ויאמרו ראה ראינו כי היה יוי עמ וג' עקב נרדף מפני עשו כי יעקב בחר לו יה ישר' וג' וסךט נרדף מפני אחיו ויהי יוי את יוסך ג' משה נדדף מפני פרעה לולי משה בחירו ישרﭏ נדדפין מפני האומות והﭏהים יבקש א כדרף בך בחר יוי לה יות וג' ר' יהורה בר' סימ בשם ר' נהוראי אף א שר נרדך מפני ארי כשב מפני הזאב עז מפני הנמר אמר הב'ה' לא תביאו לפי קרבן ﭏא מ כן שנ' שור או כשב או עז כי וג' ומיום השמיני והלאה ירצה כת' עמי מה עשיתי לך ומה הלאיתך אמ' ר' אחא ענה
19	24	0	4	3	7	4	7	בי וקבל שכר וﭏ הענה בר ותקב רן וחשבין אמ' ר' שמוﭏ בר נמחמן בשלשה ל בה להתוכח עם ישדﭏ והיו אומות העולם שמחי באות שעה ואומרין היאך יכולין ﭏו להתוכי עם בוראין עכשיו הוא מכלה אותן בשעה שאמ' להם לכו נא ונזכחה יאמר יוי שמחו ואמרו עכשיו מאבדןן שראה הב'ה' שהן שמחין הפכה להם לטובה אמ' אם יהיו חטאיכם כשנים כשל ילבינו כששמעו ואומות העולם כך תמהו ואמרו זו היא תשובה וזו הי א תיכחה לא אא ﭏ למתפוגנה עם בעוהי בשניה שאמ' להם שמ'עו הרים את ריב יוי ו האיתט ם ו' כי ריבליוי עם עמו שמחו אומות
23	29	0	7	6	15	15	9	העולם ואמרו עכשיו הוא מכלה אותן כיון שראה ה'ב''ה' הכבה למוב ואמר בבטן עקב את אח יו וג' כיון ששמו אומות העולם וו משל לאשה שהיתה קובלת ל בה בנה כיון דחז דיינא דהא דאין והוא אמ' למקטל ברייתא אמרה אם מהודעא ליה לסורחניה דברי יימר למקט ליניהימה עבדא ארכת עד רחסל מדיניה אמ' לה מה סורחניה דבריך אמרה ליה כיון דהוה במעאי בעט בי אמר לה וכדן עבד לך כלום אמרה ליה לאואמ לה לית דין סורחן דכלום כך תמהו אומות העולם ואמרו זו תשבה וזו תוכחה וג' ומה הלאיתיך אמר ר' ברכיה משל למלך ששל ח פ רהוזדגמא
33	35	2	4	5	24	7	5	שלו מדינה מה עשו בני המדינה נטלו אותה ופרעו אות ראשיהם וקראו אותה באימה ביראה ברתת ובזיע כך אמ' הב'ה' לישרﭏ בני הד א קרית מ כוזדוגמא שלוך היא לא הטרחתי עליכם ולא אמת ﭏיכם שתהיו קוראי' אותה לא עומדין על רגליכ ולא פורעין את ראשיכם ﭏא בשבתך בביתך וג דא' ומה הלאיתיך אמ' ר' יהודה בר' סימון אמ הבה' עש בהמות מסרתי לך שלש ברשותך ושבע אינך ברשותך איל זצבי ויחמור ואקו וג' וא לא הטרתי עליכם לעלות כהרים ולהתיבע שד ולהביא לפני קרבן ﭏא מﭏו שהן ברשותך הגדילות על אבוסיך שור או כשב או עז ז'ש'ה' הן אתם
24	21	1	5	2	15	4	5	מאין ופעלכ מאכע הן אתם מן לא כלום מן לחה סרוחה מואפע מאה פעיות ממאה בעיה שהיא פועה בשעת לידתה בשעה שהיא בל א'משב תשעה ותשעים למיתה ואחד לחיים תועבה יבח בכם אעפ' שהתינוק הזה יוא ממעי מו מלוכלך מטונף מלא רירין הכל משקין אותו הכל מחבבין אותו וביותר כשהוא זכרם ד'א ה אתם מא הן חרד אתם לו לם מן אומות העולם הקרואים אן כל הגוים כאין נגדו ופעלכם מאפע אמ' ר' לוי כ כעולות טובות ונחמות שעתי ה'ב''ה' לעעור עם ישר אינן ﭏא בשכרפעיה אחת שפעו ישרﭏ בסיני ואמרו כל אשר דבר יוי נעשה וג' תועעה ור בכם
49	32	0	3	3	4	3	5	אותה תועבה שעשיתם עגל מסכה מאותה ﭏ הביאו לפני קרבן ואני אבחר בכ ומהו שור או כשב או עז ברעתם ישמח מל ובכחשיהם שרים וכי מה ראה בשור שעשאו ראש לקרבנות אמ' ר' מאיר משל למטרונה שיצא עליה שם רע עם אחד מגדולי מלכות בדק המלך בדברים לא מצא כהם ממש מה שה המלך עשה סעוה והושיבו כא המסובן להודיע לכל שבדק המלך ולא מצא בדבר ממש ולפי שהיו אומות העולם אומ' לישר' אתם עשיתם את העגל ובדק ה'בה ולא מצא בדבריםש לפיכך נעשה שור רמש לכל הקרבנות מה שקראו בכענין שור או כשב או עז ר' מני ור' אידי
20	25	0	8	4	9	7	6	כשם ר' שמוﭏ בר נחרן מולים היו ישרﭏ מאותו ה שﭏו עשו את העגל היה לו לומר ﭏה ﭏהינו ש ﭏא הגרים שעשו עם ישרﭏ הם עשאוהו והיו כן לי שרﭏ ואומרין ﭏה ﭏהיך ישרﭏ אמר ר' יהודה בר' סימון כתי' ידע שור קונהו וחמור אבוסעלי ולא ווו יודעין ﭏא שדשו בעקב שור זה אכרהם וﭏ הבקר רץ אברהם כשב בזכות יצחק וישא בר' את עיניו וירא והנה איל עו בזכות יעקב לך נא ﭏ השין וקח לי וג' טובים ר' ברכיה בשם ר' חלבו אמ' טובים לים לבניך טוכים לך שעליהם אתמקב ברכות טובים לבניך שעליהם מת כפר לבני
39	41	0	5	2	7	9	6	ביום הכפורים שנ' כי ביום הזה יכפר עליכם לטהר אתכם וג' והיה שבעת ימים תחת וג' ר' יהושע דסכין בשם ר' ליי למלך שהיה נכנס למדינה והוציא כרוה ואמ' כל שיש כאן לא יראו פני עד שיראו פני מטרונה תחלה אמ' ה'ב'ה' בני לא תביאו לפני קרבן עד שתעבו עליו השבת שאין שבעה בלא שבת ואין מילה בלא שבת אמ' ר' יצחר משפט אדם ומשפט בהמה וביום השמיני ימול בש ערלתו ומשפט בהמה ומיום השמיני והלאה ושור מו שה אותו ואת בנו ר' ברניה בשם ר' לוי אמר יודע צדיק נפש בהמתוזה הב'ה' שכת' בתורה לא תקח האם על הבנום
27	32	0	9	2	23	4	6	ורחמי רשעים אכזרי זה סנוחריב הרשע שכת' ביה אם על בנים טשה יודע צדיק נפש בהמתו זה הבה' שכת' בתורה שכ' ושור או שה אותו ואת בנו ורחמי ר עים אכזרי זה המן שכת' בו להשמיד להרוב ולאבד או להם לרשעים שהן מתעסקין בעצות על ישר' כל אחר ואו אור נת יפה מעצת ך עשו אמ שוטה היה קאן שהרג אות הבל בחייאו ביו ולא היה יודע שאביו יפרה וירבה אני איני עושה כן ﭏא יקרבו ימי אבל ואהרגה את יעקב אחי פרעה אמר שוטה היה עשו שאמ' יררבו ימי אבל אובי ולא היה יודע שאחיו פרה ורבה בחייאביו אני
22	24	0	8	12	23	4	5	איני עושה כן עד דאינון פלן תחות כורסי אמהתהון אנא מחיק להון הר'ה כל הבן הילוד היאורה תשליכוהו המן אמר שוטה היה פרעה שאמר ואם בת היא וחיה ולא היה יודע שהבנות ישאות לאנשים ופרות ורבו מה אנייני עושה כן ﭏא ט ושים אמ' ר' לוי אף גוג לעתי לבוא עתיד לקרא ולזמן על הראשונים שהיו שוטי שהיו מתסקין בצות על ישרﭏ והם לא היו יודען שיש פטרון בשמים אני איני עושה כן ﭏא בתחלה אי מזדווג לפטרונן ואחרכך אני מזדווג להן הה' יתיצבו מלכי ארץ וג' אמ' לו ה'ה' רשע לי באתה להזדווג חייך אני עו שה עמך מלחמה
32	30	0	11	9	12	8	3	ה'ה'ד יוי כגבו יצא באיש וג' וכת' ויצא יוי ונלחם בגוים הה וכת' וכי תזבחו זבח תודה ליוי ר' פינחסם ור' לוי ו ור' יוחנן בשםר' מנחם דגליל אמד לעתיד לבוא כל הקרבנות כולם בטלין וקרבן תודה איני בטל לעולם הה'ד' קול שמחה ששון וקול שמחה וג' מביאים תודה בית יוי זה קרבן תודה וכן דוד אומ' עלי ﭏהים אשלם תודות לך תודה אין כתי' באן ﭏא תודות ההודיה וקרבן תודה ומיום שמיני והלאה שלא יטעך ירך שיש לפניו אכילה ושתייה מי היה ומקריב לו עד שלא עמדו ישרﭏ אמר דוד כימי בשחק יערו ליוי ידמה ליוי בבני ﭏים מי
27	40	0	2	4	8	3	2	היה מקריב לו קרבות אמ' ר' אבון הלוי בר' מי כיוצא בה'ב'ה' ומפרנס יתומי ומאכיל רעיבים ואין הלשון הזה יערוך ﭏא לשון אורה שנ' על המנורה הטהורה יערוך דא' כי מי בשחק יערוך וג' מי כיוצא בה'ב'ה' מלביש ערומים ואין לשון זה ﭏא כסות שנ' וערך בגדים מחיתך בי מי בשחר וג' ואין הלשון הזה ﭏא לשון מלחמה שנ' ויערכו אתם מלחמה ללמדך שהוא עושה מלחמתן של ישר' כי מי בשחק יערוך ליוי אמר ה'ב'ה' אם בא יצרך לומר מי היה מתריב להב'ה' עד שלא נברא העולם והרי משה עלה לרקיעועשה קב יום יאמר לך אם היו מקריבין לפני ולא
42	32	0	1	5	6	15	8	עוד ﭏא הויו היה למור לאכול ומשעלה אצלי ראה שאין לפני אכילה אף הוא לא אכל נ' ויהי שם עם יוי מ' יום וג' אמ' ר' שמעון אם בא יצרך להטעותךר לו שיש לפני אבילה לא היה אומר שאקריב ואנסך לו מה כת עולת תמיד העשויה בהר סיני וכי בהר הקריבו קרבנות' ﭏא הרי משה שעלה להר סיני יאמר אם יש לפני אכילה ושתייה ולמה והטרחתי לך ואמרת לך עולת תמיד שתהא מר ריב בשביל לזכותך אמ ר' אחא בר אבא גבור שהוא מהלך וצמא והלך לשתות מים כמה ישתה בכפיו עשרה נפים ששה' ם ד כים פוות משתים אינו
21	26	0	0	1	6	6	2	שותה וכל המים שבכל העולם מלא שעלו שנ' מי מדד בשעלו מים להודיער שא לפניו אבילה ושתייה ולמה אמר שתהריב קרבן ﭏאות הוי אומ' שור או כשב או עז וג' ומיום השמיניוהלאה ירצה ז''ש'ה' כי מקרה בני האדם ומקרה הבהמה בוא וראה כת' באדם לא תלבש שעטנז וכת' בבהמה לא תחרוש בשור ובחמו מקרה אחד לכל מה האדם מקבל טומאה אף בהמה מקבלת טומאה באדם כת' הנוגע במת לכל נפש אדם וטמא ז' ימים ובבהי י הנוגע בנבלתה יטמא עד הערב כמות זה כן ות וה' באדם כת' והרגת את האשה וג' ובבהמה כת' וא הבהמה תהרוגו ורוח אחד לכל
54	61	0	0	2	0	3	5	ומי יודע רוח בני האדם העולה היא למעלה ורוח הבהמה היורדת למטה לארך רוח האדם לפי שנתנה מלמעלה כתי' בה עליה ושל בהמה ירידה לפי שניתנה מלמטה לפיכך כתי' בה ירידה ומתר האדם מן הבהמה אין מהו אין שהוא מדבר והיא אנה מדברת ועוד יש באדם דעת ובבהמה אין דעת הא ודעבין טוב לרע והבחמה איגה בכן ועוד האדם נוטל שבר על מעשיו והבהמה אינה נוטלת שכר עשיה האדם מת מטפלין בו ונקבר והבהמה איה קברת ומותר האדם וג' מה כתי' באדם אשה כי תזריע וג' וביום השמיני ימול ובבהמה שור או כשב או עז וג' ומיו השמיני והלאה שור
26	30	1	0	1	9	2	8	או כשב וג' א ז'ש'ת' ועתה ירום ראשי על אויבי וג'' כיון שעשו ישרﭏ אתו מעשה היו אומות העולם אומרין אין להם תקומה ואינו חזר עליהם לעולם כיון ששמעוישר' שיקריב שור רמה אשם שנ' ועתה ירום וג' והיו מהלכין תלויין ראש ואומ עכשיו אונו יודעין שנתרצה לנו ה'ב'ה' אזבחה באהלו חי תרועה וג' שור או כשב או עז כי יולד יש שור נולד עגל נולד ולא שיר שאמ' להקריב שור ולמה אמ' שיקריבו שור לכפר תכנית שור על עונות שﭏ שנ' הסולח לכל עונכי וג' תדע לך ראה מה כת ואובעה כנים לאחת וג' מה כתי' שם ורגליהם רגל ישרה
24	23	1	0	2	6	9	8	וכף רגליה'וג' משביל כפדתן שלישר' הוסף להם שי כנפיםשש כנשם שש כנפים לאחד למה אמר ה'ב'ה' שיתבסו הרגלים שן ץ דומות לעל שלא יראו אותם ויזכור מעשה העג שנ' בשתים יכסה פניו ובשתים יכסה רגליו וכלכך למה ﭏא לכפר על עונות ישﭏ שנ' הסולח לכל עוניכי וג אין לך גדול בעוף ﭏא הנשר ונעשה פנים לחיה שנ' וי נשר וג' הגדול שבחיה ארי ונעשה פנים לחיה אחד פני אריה השור גדול שבבהמות ועעשה פנים לחיה אמ וני שור מהשמﭏ פני אדם בשביל ישרﭏ עחת הב'ה את השור ונתן כרוב תחתיו שאין את מו צא שאין מזכי שם ﭏא כרוב שנ'
27	16	0	1	3	4	8	7	כרב תזתיו פני האחד פי הנרונב כלכך למה כדי לפר על ישרﭏ שנ' הסלח לכל עוניי ולמה הסיר ה'ב'ה' את העגל שיהיו ישרﭏ זכאין לפניו לפניה זלא עוד ﭏא כשיהיה אחד מישרﭏ מהרהר בלבו עבירה או דבר רע אין הב'ה' מצרפה למעשה שכן דויד אומר און אם ראיתי בלבי לא ישמע יוי ומה ה'ב'ה' שומע בשעה שאדם מהרהר בתפלה שנ' אכן שמעת קול תחנוני ולאעוד ﭏא שני בני אדם ועוסקן בתורה הבה' שומע להם שנ' אז נדברו יראי יוי איש ﭏ רעהו וג' אמר ה'ב'ה' בשכר התורה שאתם עוסןין הייתי מקשיב ישומע הפליתיכם אבל לעתיד לבו א עד שלא תאמרו
36	38	1	2	10	4	1	7	תפלה ותקראו לפני אני עונה אתם שנא' והיה טרם יקראו ואני אעעה וג' ולקחתם לכם ביום הראשון זשה שמעבני וקחי מרי הרבה לקיחות צויתי אתכם בשביל לזבות אתכם אמרת לכם ויקחו ﭏיך פרה אדומה שמא בש ילי ﭏא בשיל טהרתכם שנ' ווחה הטהור על הטמא אמרתי לכם לקחו תרומא לעבשבילי ﭏא בשכיל שאדו ביניכם כת' ועשו לי אמקש וג' דבר קשה כביכול אמ'' להם קחו אתי שאדור ביניכם ויקוו תרומה א כת' ﭏא ויקחו ל תומה אותי אתם לוקאחים אמרתי לם ויקחו ﭏיש זך וג' וכי אור משלכם אני צריך ﭏא בשביל ללשמר את נפשות יכם שמשלה הפש בלר שנ'
17	18	0	0	4	5	7	6	יוי נשמר אדם וג' ועשיו שאמרתי לכם ביום קשי ל שכיל שאניצין לכם ﭏא בשביל לשמר אתכם פ'י עץ דר כפת מרים מה טיב של ארבעת מינין הללו מהן עושין פירות מן ין עוין נירות פרי ען הד' וג'שו המדיק שישן שש להם מעשיםי טוב' ן עבות וערבי נחוג' וערבירנחל ﭏו בינוניים שבישרר' אמ 'ה'ב'לםעשו אודה אחתייכדי שלא יהיו בבני נפשולת אם עשיתם אני מתעלה וכן הנביא אומ'הבונה בשמים מעלותיו ואגודתו וג' ואימתי מתעלה כשהןעשויין אגודה אחת וארתו על ארץ יסדה ולקחתם לכם ביום הראשן כלקיחה שלא תהא גהל ועומד בו ונמצא סניגורו קףטיו ולקחתם תני ר' חייא במקח ולא
